epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.275,1.42587,2.66556,1.70634,0.70181,0.18939,0.2868,0.15951,1.4882,2.85603,1.70764,0.000651163,0.000651163,0.000651163
2,38.7349,1.35631,2.231,1.67936,0.43811,0.31061,0.30926,0.16641,1.56703,2.7462,1.8103,0.00118736,0.00118736,0.00118736
3,57.3688,1.3318,2.06841,1.64767,0.27812,0.33567,0.23966,0.09409,2.04288,5.23057,2.5545,0.00159157,0.00159157,0.00159157
4,75.1315,1.34897,1.90596,1.64229,0.35544,0.28788,0.27675,0.14703,1.768,2.88973,1.99564,0.001406,0.001406,0.001406
5,92.3686,1.29719,1.80528,1.62892,0.36774,0.52273,0.39338,0.23036,1.54381,2.94368,1.75224,0.001208,0.001208,0.001208
6,110.605,1.25001,1.70749,1.58448,0.69329,0.37879,0.46989,0.289,1.41986,1.79886,1.61893,0.00101,0.00101,0.00101
7,129.254,1.16849,1.56658,1.51831,0.42013,0.45455,0.41082,0.25546,1.38529,2.17988,1.54386,0.000812,0.000812,0.000812
8,146.617,1.10052,1.45385,1.44782,0.55308,0.43182,0.45934,0.2423,1.52968,1.86803,1.65368,0.000614,0.000614,0.000614
9,163.69,1.07477,1.41371,1.42052,0.79068,0.37203,0.52035,0.33039,1.35737,1.73275,1.47271,0.000416,0.000416,0.000416
10,183.072,1.00524,1.33528,1.38525,0.62282,0.5303,0.56362,0.36638,1.27077,1.66058,1.41589,0.000218,0.000218,0.000218
